contestId,index,name,rating,tags
2242,F,Summer Vacation,,"data structures, dp, probabilities"
2242,E,Product of Closures,,"bitmasks, brute force, constructive algorithms, greedy, implementation, math, number theory"
2242,D,Two Digit Strings,,"dp, strings"
2242,C,Unstable Elements,,"brute force, data structures, implementation, sortings, two pointers"
2242,B,Predominant Frequency Division,,"data structures, greedy, implementation, math"
2242,A,Bigrams,,"sortings, strings"
2241,G,Summmon,,"binary search, data structures, greedy, implementation, math, number theory"
2241,F,A Bit Odd,,"data structures, games, greedy, math"
2241,E,Fair and Square,,"combinatorics, dp, graphs, math, number theory, trees"
2241,D,An Alternative Way,,"dp, greedy, math"
2241,C,RemovevomeR,,greedy
2241,B,Good times Good times,,"constructive algorithms, dfs and similar, math"
2241,A,Divide and Conquer,,"greedy, math, number theory"
2240,B,AI Finds Nothing Here,1100.0,"combinatorics, math"
2240,A,Another Popcount Problem,800.0,greedy
2239,F,Colorful Works,3500.0,"dp, fft, games, implementation"
2239,E,"The end of this world,",3300.0,"data structures, divide and conquer, dsu, graphs"
2239,D,Hunting the Beast,2500.0,"combinatorics, dp, graphs, math"
2239,C,Revival,2200.0,"binary search, data structures, math, two pointers"
2239,B,Decidophobia,1500.0,"greedy, math, sortings, two pointers"
2239,A,Nim Game Is XOR Game,1300.0,"constructive algorithms, games, greedy, math"
2238,F,Infinite Work,2600.0,"combinatorics, graphs, greedy, math, trees"
2238,E,Cake Trial,2000.0,"dp, greedy"
2238,D,Storming Arasaka,1500.0,"greedy, math, number theory"
2238,C,Village Guilds,1400.0,"dfs and similar, dp, trees"
2238,B,Crimson Triples,900.0,"dp, math, number theory"
2238,A,Another Puzzle from Papyrus,800.0,"greedy, math, sortings"
2237,I2,DBFS Order (Hard Version),3500.0,"dp, trees"
2237,I1,DBFS Order (Easy Version),3500.0,"dp, trees"
2237,H,Slime and Queries,3500.0,"data structures, greedy, trees"
2237,G,Send GCDs,2900.0,"communication, constructive algorithms, interactive, math, number theory"
2237,F,Paint the Array,2400.0,"data structures, dp, greedy"
2237,E,Permutation Commutation,2000.0,"data structures, graphs, greedy"
2237,D,Fullmetal Bitchemist,1500.0,"constructive algorithms, greedy, math"
2237,C,Duck Surplus,1000.0,"binary search, greedy"
2237,B,Annoying the Ghost,1000.0,"brute force, greedy"
2237,A,Destroying Towers,800.0,"games, greedy, schedules"
2236,G,Criterion in Burlandia,2600.0,"binary search, bitmasks, brute force, data structures, dfs and similar, divide and conquer, implementation, trees, two pointers"
2236,F2,Elections in Saransk (hard version),2200.0,"combinatorics, dp, math, number theory"
2236,F1,Elections in Saransk (easy version),1700.0,number theory
2236,E,Friendly Gifts,1700.0,"brute force, dp"
2236,D,Brand New Tatar TV Show,1300.0,"binary search, constructive algorithms, dp, games, math"
2236,C,Omsk Programmers,1000.0,"brute force, greedy, math"
2236,B,Tatar TV Show,800.0,"greedy, math, strings"
2236,A,Games on the Train,800.0,"greedy, math"
2234,G,"Stripe, Token and Two Players",2700.0,"data structures, dp, games"
2234,F,"Vessels, Heights and Two Versions (Hard Version)",1900.0,"data structures, dfs and similar, dsu, greedy, implementation, two pointers"
2234,E,"Vlad, Misha and Two Arrays",2100.0,"brute force, combinatorics, dfs and similar, divide and conquer, math"
2234,D,"XOR, Expression and Two Binary Numbers",1500.0,"bitmasks, divide and conquer, dp, math, number theory"
2234,C,"Vessels, Heights and Two Versions (Easy Version)",1200.0,"dfs and similar, dsu, greedy, implementation, two pointers"
2234,B,"Palindrome, Twelve and Two Terms",800.0,"brute force, constructive algorithms, math"
2234,A,"Euclid, Sequence and Two Numbers",800.0,"math, number theory, sortings"
2233,F,Shortest GCD Paths,2800.0,"dp, graphs, math, number theory, shortest paths"
2233,E2,Permutation Transmission (Difficult Version),2300.0,"bitmasks, combinatorics, sortings"
2233,E1,Permutation Transmission (Easy Version),2200.0,"bitmasks, combinatorics, sortings"
2233,D,Goods on the Shelf,1900.0,"brute force, data structures, implementation, two pointers"
2233,C,Cost of a Bracket Sequence,1400.0,"brute force, dp, greedy"
2233,B,Different Distances,900.0,constructive algorithms
2233,A,AI Project Development,800.0,"brute force, math"
2232,F,The Cake Is a Lie,3000.0,"greedy, math, number theory"
2232,E,Snaking Arrangement,2600.0,"combinatorics, constructive algorithms"
2232,D,Magical Tiered Cake,2000.0,"constructive algorithms, dfs and similar, dp, greedy"
2232,C2,Seating Arrangement (Hard Version),1500.0,"binary search, greedy, math, two pointers"
2232,C1,Seating Arrangement (Easy Version),1300.0,"binary search, dp, greedy, two pointers"
2232,B,Cake Leveling,900.0,"binary search, greedy, math"
2232,A,Convergence,800.0,"greedy, sortings"
2231,F,Quadratic Jumps,2600.0,"brute force, constructive algorithms, greedy, math, number theory"
2231,E,Graph Cutting,2300.0,"dfs and similar, dp, math, trees"
2231,D,Maximum Prefix Sums,1900.0,"constructive algorithms, greedy, implementation, two pointers"
2231,C,Chipmunk Theo and Equality,1400.0,"implementation, sortings"
2231,B,Another Sorting Problem,1100.0,constructive algorithms
2231,A,Construct an Array,800.0,constructive algorithms
2230,F,Game on Growing Tree,2700.0,"binary search, dfs and similar, divide and conquer, dp, games, implementation, trees"
2230,E,Minimum Influence,2100.0,"binary search, data structures, greedy, implementation, math, sortings, two pointers"
2230,D,Good Schedule,1700.0,"dp, greedy"
2230,C,Arrange the Numbers in a Circle,1300.0,"constructive algorithms, implementation, math"
2230,B,Digit String,1000.0,"greedy, implementation, math"
2230,A,Optimal Purchase,800.0,"implementation, math"
2229,I,The Endians,3400.0,"dp, trees"
2229,H,Wowee Binary String,3200.0,"combinatorics, dp, strings"
2229,G,Roadworks,2900.0,"binary search, data structures, dp, greedy, two pointers"
2229,F,Load Unbalancing,2400.0,"binary search, bitmasks, dp, greedy"
2229,E,Deconstruction Tree,2100.0,"combinatorics, data structures, dp, graphs, trees"
2229,D,Me When Median Problem,1700.0,"binary search, greedy"
2229,C2,We Be Flipping (Hard Version),1400.0,"constructive algorithms, dp, greedy"
2229,C1,We Be Flipping (Easy Version),900.0,"constructive algorithms, greedy"
2229,B,Absolute Cinema,800.0,"greedy, math"
2229,A,Slimes on a Line,800.0,"brute force, greedy, math"
2228,F,Momoyo and the Network,2700.0,"binary search, dfs and similar, divide and conquer, dp, trees"
2228,E2,Amanojaku and Sequence (Hard Version),2500.0,"combinatorics, data structures, implementation, math"
2228,E1,Amanojaku and Sequence (Easy Version),2400.0,"combinatorics, math"
2228,D,"Sanae, Cross and Color",1900.0,"binary search, data structures, implementation"
2228,C2,Cirno and Number (Hard Version),1600.0,"binary search, dfs and similar, dp, greedy, implementation"
2228,C1,Cirno and Number (Easy Version),1500.0,"binary search, brute force, dp, greedy, implementation"
2228,B,Remilia Plays Soku,1100.0,"games, implementation"
2228,A,Marisa Steals Reimu's Takeout,800.0,"greedy, implementation"
2227,H,Fallen Leaves,2100.0,"dfs and similar, dp, trees"
2227,G,Drowning,2000.0,"binary search, data structures, math"
2227,F,It Just Keeps Going Sideways,1700.0,"binary search, data structures, dp, greedy, math"
2227,E,It All Went Sideways,1400.0,"binary search, data structures, dp, greedy"
2227,D,Palindromex,1200.0,"binary search, brute force, constructive algorithms, data structures, greedy, implementation, two pointers"
2227,C,Snowfall,800.0,"constructive algorithms, math"
2227,B,Party Monster,800.0,greedy
2227,A,Koshary,800.0,"implementation, math"
2226,G,Stop Spot,3000.0,"implementation, strings, trees"
2226,F,Inversion Invasion,2800.0,"math, number theory"
2226,E,Mental Monumental (Hard Version),2300.0,"data structures, greedy, math, two pointers"
2226,D,Reserved Reversals,1900.0,"constructive algorithms, dp, greedy, math"
2226,C,Mental Monumental (Easy Version),1500.0,"binary search, data structures, greedy, math, two pointers"
2226,B,Everything Everywhere,900.0,"greedy, math, number theory"
2226,A,Disturbing Distribution,800.0,"greedy, math"
2225,G,Simple Problem,2900.0,"brute force, graphs, greedy, number theory"
2225,F,String Cutting,2600.0,"binary search, brute force, greedy, hashing, string suffix structures, strings"
2225,E,Covering Points with Circles,2200.0,"constructive algorithms, geometry, math"
2225,D,Exceptional Segments,1500.0,"bitmasks, brute force, math"
2225,C,Red-Black Pairs,1100.0,"dp, greedy"
2225,B,Alternating String,900.0,"brute force, greedy"
2225,A,A Number Between Two Others,800.0,"greedy, math"
2224,B,Zhily and Mex and Max,1200.0,"constructive algorithms, greedy, math, sortings"
2224,A,Zhily and Array Operating,800.0,"constructive algorithms, greedy"
2223,F,Zhily and Colorful Strings,3400.0,"divide and conquer, fft, math"
2223,E,Zhily and Permutation,3500.0,"data structures, divide and conquer, trees"
2223,D,Zhily and Cycle,2800.0,"graphs, greedy"
2223,C,Zhily and Signpost,2300.0,"chinese remainder theorem, dfs and similar, math, number theory, trees"
2223,B,Zhily and Barknights,1600.0,"binary search, data structures, dp, math, sortings, two pointers"
2223,A,Zhily and Bracket Swapping,1300.0,"constructive algorithms, greedy"
2222,H,Counting Sort?,3500.0,"brute force, combinatorics, dp"
2222,G,Statistics on Tree,3100.0,"binary search, brute force, dfs and similar, divide and conquer, graphs, trees"
2222,F,Building Tree,2600.0,"data structures, divide and conquer, dsu, graphs, implementation"
2222,E,Seek the Truth,2000.0,"binary search, bitmasks, constructive algorithms, interactive"
2222,D,Permutation Construction,1800.0,"constructive algorithms, data structures, sortings"
2222,C,Median Partition,1500.0,"dp, math"
2222,B,Artistic Balance Tree,1100.0,"greedy, sortings"
2222,A,A Wonderful Contest,800.0,"brute force, dp, math"
2220,B,OIE Excursion,1200.0,greedy
2220,A,Blocked,800.0,"greedy, sortings"
2219,E,Weird Chessboard,3500.0,"constructive algorithms, math"
2219,D,MEX Replacement on Tree,2700.0,"data structures, implementation, math, trees"
